"","species","term_queen_onset","estSE_queen","term_male_onset","estSE_male_onset","term_male_end","estSE_male_end","estSE_growth","estSE_male_per"
"1","griseocollis","yearGDD5","-3.41e-02 ± 4.00e-03","yearGDD5","-2.30e-02 ± 7.07e-04","yearGDD5","-1.85e-02 ± 9.80e-04","1.12e-02 ± 4.06e-03","4.49e-03 ± 1.00e-03"
"2","impatiens","yearGDD5","-2.13e-02 ± 1.52e-03","yearGDD5","-1.08e-02 ± 2.10e-03","avgGDD5","6.09e-03 ± 9.48e-04","1.06e-02 ± 2.59e-03","1.69e-02 ± 2.97e-03"
