"site","latitude","longitude"
291,44.321,-73.065
292,43.974,-73.034
293,43.939,-72.958
294,44.352,-72.353
295,44.285,-72.575
296,44.244,-72.549
297,44.311,-72.574
298,42.927,-72.71
299,44.741,-72.041
300,44.955,-71.898
301,44.87,-72.526
302,44.69,-72.361
303,44.574,-72.206
304,44.576,-72.198
305,44.798,-72.975
306,44.336,-73.021
307,43.876,-72.919
308,44.921,-71.976
309,44.854,-73.34
310,43.785,-72.44
311,44.55,-72.536
312,45.006,-71.917
313,43.635,-73.373
314,43.635,-72.456
315,44.132,-73.111
316,44.618,-72.049
317,44.112,-72.987
318,44.047,-73.118
319,44.473,-72.568
320,44.31,-73.261
321,44.477,-73.196
322,44.781,-73.145
323,44.198,-73.343
324,44.306,-72.697
325,44.789,-71.823
326,44.536,-72.005
327,44.322,-73.027
328,43.482,-72.386
329,44.062,-73.282
330,43.425,-72.51
331,44.588,-73.191
332,44.072,-72.566
333,44.31,-72.573
334,44.205,-72.96
335,42.73,-72.549
336,43.629,-73.271
337,42.738,-72.51
338,43.356,-72.407
339,43.414,-72.405
340,44.615,-73.204
341,44.838,-72.266
342,47.076,-70.906
343,43.581,-73.128
344,42.744,-72.611
345,42.758,-72.633
346,43.586,-73.117
347,44.953,-72.883
348,43.297,-72.484
349,43.147,-72.888
350,44.343,-72.304
351,43.716,-73.187
352,44.374,-72.368
353,44.324,-72.31
354,44.397,-73.236
355,43.664,-73.393
356,44.464,-73.202
357,43.622,-72.935
358,44.327,-72.987
359,44.332,-72.95
360,43.611,-73.18
361,44.476,-73.213
362,44.491,-73.111
363,42.879,-73.08
364,45.789,-65.794
365,45.154,-66.911
366,45.799,-65.096
367,47.538,-64.969
368,45.819,-65.026
369,47.557,-64.938
370,47.291,-65.052
371,45.838,-65.035
372,45.286,-67.279
373,47.493,-65.244
374,47.345,-65.046
375,45.318,-67.207
376,45.157,-66.722
377,47.585,-65.288
378,45.141,-63.029
379,45.208,-62.874
380,45.517,-64.328
381,45.088,-63.714
382,45.433,-63.715
383,45.573,-63.76
384,46.34,-62.47
385,46.955,-64.075
386,46.41,-62.754
387,46.326,-62.8
388,46.457,-62.483
389,46.445,-62.241
390,46.974,-64.089
391,46.08,-62.791
392,46.294,-62.7
393,46.415,-62.899
394,46.992,-64.023
395,46.466,-62.041
396,46.428,-62.893
397,46.367,-62.331
398,46.385,-62.859
399,46.334,-62.766
400,35.587,-83.842
401,41.282,-77.723
402,46.135,-89.888
403,35.438,-83.554
404,35.654,-83.437
405,45.077,-64.494
406,42.35,-73.163
407,44.367,-71.55
408,44.383,-71.528
409,44.808,-71.738
410,41.909,-70.78
411,40.712,-77.934
412,35.952,-83.895
413,44.49,-63.87
414,45.83,-64.21
415,46.57,-60.68
416,44.38,-64.52
417,45.73,-64.21
418,45.62,-63.93
419,45.44,-63.46
420,44.98,-63.22
421,44.27,-64.84
422,44.57,-63.71
423,44.702,-63.855
424,45.47,-63.07
425,44.28,-64.27
426,45.28,-62.66
427,45.35,-63.16
428,44.38,-64.32
429,46.33,-61.1
430,44.97,-62.66
431,44.69,-63.15
432,44.9,-63.83
433,44.55,-63.64
434,45.38,-63.16
435,44.72,-73.08
436,44.49,-63.92
437,44.77,-63.85
438,44.67,-63.26
439,45.09,-63.4
440,45.42,-63.21
441,44.48,-64.63
442,44.37,-64.58
443,45.1,-64.25
444,45.67,-62.98
445,45.27,-61.29
446,45.88,-61.92
447,45.05,-63.21
448,45.74,-61.42
449,45.67,-62.79
450,45.66,-62.52
451,45.04,-63.15
452,45.73,-63.87
453,45.81,-62.56
