"species","term","estimate","SE","tvalue","pvalue"
"auricomus","(Intercept)",271.479238796929,3.31534019612295,81.8857862955977,0
"auricomus","yearGDD5",-0.0147749043324944,0.00116393500838032,-12.693925542333,0
"bimaculatus","(Intercept)",259.489468593004,1.04529113332045,248.246120455185,0
"bimaculatus","yearGDD5",-0.0187225013261772,0.000392931231339895,-47.6482901660259,0
"borealis","(Intercept)",253.618243177549,4.76476975710859,53.2278066110486,0
"borealis","avgGDD5",-0.00663140300228585,0.00250276824575881,-2.64962727312983,0.00808186584066384
"fervidus","(Intercept)",284.905034689071,2.71008919897437,105.127548863297,0
"fervidus","yearGDD5",-0.0127299344408376,0.00104589571931692,-12.171322824757,0
"fraternus","(Intercept)",269,1.39817225532256,192.394033693611,0
"griseocollis","(Intercept)",272.633296892082,1.12637778604035,242.044277036475,0
"griseocollis","yearGDD5",-0.015236760207677,0.00038152157189737,-39.936824887521,0
"impatiens","(Intercept)",254.466510385715,0.423437739458944,600.953780621597,0
"impatiens","yearGDD5",0.00892586598516895,0.000156149507737287,57.1623062698745,0
"pensylvanicus","(Intercept)",240.54782757581,1.34798217918676,178.45030245202,0
"pensylvanicus","avgGDD5",0.00712240363217541,0.000330747820612784,21.5342420669003,0
"perplexus","(Intercept)",258.412528306877,1.7235363798454,149.931577498849,0
"perplexus","yearGDD5",-0.0176315339985565,0.000787490918741147,-22.3895077123449,0
"rufocinctus","(Intercept)",273.469146706867,3.76288481880802,72.6753966371724,0
"rufocinctus","avgGDD5",-0.0141145976747203,0.00163521856202699,-8.6316276016486,0
"sandersoni","(Intercept)",238.469261624873,5.58902364187507,42.6674276054535,0
"sandersoni","avgGDD5",-0.00768171272801404,0.00290688803264337,-2.64258982174442,0.00836817619071617
"ternarius","(Intercept)",257.79685104066,4.82086089493678,53.4752727072911,0
"ternarius","avgGDD5",0.00202018578525449,0.00268746534839963,0.751706728593729,0.452238287875746
"terricola","(Intercept)",252.400120592128,3.67516024585886,68.6773102959334,0
"terricola","yearGDD5",-0.0122636062156044,0.00182511975065609,-6.71934332593569,2.00994776378138e-11
"vagans","(Intercept)",262.308121983405,3.98318159680897,65.8539199401672,0
"vagans","yearGDD5",-0.00433847321896639,0.00179715059130799,-2.41408440669893,0.0157963079505383
