"BBNA.code","species","sex","caste","latitude","longitude","year","dayno","observers","coordinates","avgGDD5","avgSummerPrecip","avgWinterPrecip","yearGDD5","summerSPI","winterSPI"
"BBNA_152336","griseocollis","Female","Queen",42.4065,-85.4012,2012,79,"Jennifer Hopwood","42.407, -85.401",2559.564205,401.1240909,173.100465116279,2878.5,-2.162831238,0.464344096031283
"BBNA_152481","griseocollis","Male","Male",42.832,-72.561,2009,205,"Leif Richardson","42.832, -72.561",2268.687614,441.1227273,266.026976744186,2154.625,1.342415303,0.523131525962315
"BBNA_152484","griseocollis","Male","Male",44.451,-73.227,2009,211,"Leif Richardson","44.451, -73.227",2322.120455,402.0831818,168.087906976744,2195.725,-0.093295472,0.310674258174816
"BBNA_152528","griseocollis","Male","Male",44.182,-73.361,2009,233,"Leif Richardson","44.182, -73.361",2340.725227,395.7559091,185.976279069767,2235.055,-0.135637989,0.324198180779765
"BBNA_152538","griseocollis","Male","Male",43.53,-72.391,2009,251,"Leif Richardson","43.53, -72.391",2192.876705,395.1727273,221.221162790698,2100.72,1.406206252,0.931667633899465
"BBNA_152634","griseocollis","Male","Male",42.967,-72.523,2009,218,"Leif Richardson","42.967, -72.523",2255.822727,425.1079545,251.26,2161.53,1.229926556,0.391708522164564
"BBNA_152657","griseocollis","Male","Male",44.921,-73.16,2008,233,"Leif Richardson","44.921, -73.16",2260.377614,412.4138636,178.59511627907,2293.07,0.269858553,1.04580709782258
"BBNA_152671","griseocollis","Male","Male",38.889,-77.025,2009,175,"Leif Richardson","38.889, -77.025",3598.393409,429.3631818,234.298372093023,3511.65,0.210608564,-1.19517577980295
"BBNA_152854","griseocollis","Female","Queen",43.643,-72.524,2012,128,"Leif Richardson","43.643, -72.524",2048.394432,441.185,247.535348837209,2265.635,-0.487930313,-1.15691530009332
"BBNA_169887","griseocollis","Female","Queen",43.2007,-79.8152,2007,209,"Sheila Colla","43.201, -79.815",2346.927273,338.2761364,197.847674418605,2518.32,-2.538556967,0.672343363434718
"BBNA_169888","griseocollis","Male","Male",43.2007,-79.8152,2007,209,"Sheila Colla","43.201, -79.815",2346.927273,338.2761364,197.847674418605,2518.32,-2.538556967,0.672343363434718
"BBNA_170136","griseocollis","Female","Queen",45.4925,-78.7713,2003,246,"S.Jandricic","45.493, -78.771",1612.402386,432.0795455,292.000465116279,1569.315,-0.389341728,0.263023627226923
"BBNA_170282","griseocollis","Female","Queen",44.1461,-76.7889,2009,185,"S.R.Colla","44.146, -76.789",2249.992841,315.1020455,228.17,2062.86,-0.347543206,-0.160843915399823
"BBNA_170412","griseocollis","Female","Queen",43.6675,-81.0178,1992,174,"S.Hughson","43.668, -81.018",2073.3275,381.2902273,273.690465116279,1676.255,1.769565341,-0.0143024205962023
"BBNA_170421","griseocollis","Female","Queen",43.6675,-81.0178,1992,176,"S.Hughson","43.668, -81.018",2073.3275,381.2902273,273.690465116279,1676.255,1.769565341,-0.0143024205962023
"BBNA_170521","griseocollis","Female","Queen",43.6675,-81.0178,1992,231,"S.Hughson","43.668, -81.018",2073.3275,381.2902273,273.690465116279,1676.255,1.769565341,-0.0143024205962023
"BBNA_170653","griseocollis","Female","Queen",43.375,-80.3737,2006,160,"D.K.B.Cheung","43.375, -80.374",2146.817273,362.1936364,215.291395348837,2145.925,0.292917527,0.405217067931278
"BBNA_170798","griseocollis","Male","Male",45.1912,-81.5776,2004,244,"S.A.Marshall","45.191, -81.578",1880.331136,303.0027273,252.83511627907,1779.155,-2.059734044,-0.703339639628351
