"","species","term_queen_onset","term_male_onset","term_male_end","estimate_queen_onset","estimate_male_onset","estimate_male_end","SE_queen_onset","SE_male_onset","SE_male_end","deltaGP_est","deltaGP_SE","delta_male_est","delta_male_SE"
"1","griseocollis","yearGDD5","yearGDD5","yearGDD5",-0.034119911015272,-0.0229565370946737,-0.0184698194355272,0.00400297796556102,0.000707156399135756,0.00098026083770431,0.0111633739205984,0.00406496036457992,0.00448671765914651,0.00100007017037671
"2","impatiens","yearGDD5","yearGDD5","avgGDD5",-0.0213418700813659,-0.0107777977366625,0.00609166431883771,0.00151678114066916,0.00209906888959468,0.00094761732441085,0.0105640723447034,0.00258973265646358,0.0168694620555002,0.00296853169202023
