"species","term","estimate","SE","tvalue","pvalue"
"griseocollis","(Intercept)",275.206998302536,2.50078650907281,110.048177764911,0
"griseocollis","yearGDD5",-0.0184698194355272,0.00098026083770431,-18.841739591252,0
"impatiens","(Intercept)",256.073964573926,2.25796840240379,113.409011526164,0
"impatiens","avgGDD5",0.00609166431883771,0.00094761732441085,6.4284011719868,1.41554767907337e-10
